Isotope,Energy,Intensity,Half life (s),Half life (m),half life (h),half life (d)
48V,511.0,99.8,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
43SC,511.0,176.2,14007.6,233.46,3.891,0.162125
44SC,511.0,188.54,14292.0,238.2,3.97,0.16541666666666666
45K,512.0,1.2,1068.6,17.81,0.2968333333333333,0.012368055555555554
43K,593.39,11.26,80280.0,1338.0,22.3,0.9291666666666667
51TI,608.55,1.18,345.6,5.760000000000001,0.096,0.004
43K,617.49,79.2,80280.0,1338.0,22.3,0.9291666666666667
44K,651.355,3.0,1327.8,22.13,0.36883333333333335,0.015368055555555555
45TI,719.6,0.154,11088.0,184.8,3.08,0.12833333333333333
44K,726.49,3.8,1327.8,22.13,0.36883333333333335,0.015368055555555555
44K,733.0,0.16,1327.8,22.13,0.36883333333333335,0.015368055555555555
44K,747.63,2.1,1327.8,22.13,0.36883333333333335,0.015368055555555555
44K,761.1,0.12,1327.8,22.13,0.36883333333333335,0.015368055555555555
47CA,767.1,0.18,391910.4,6531.84,108.864,4.5360000000000005
45K,771.4,0.111,1068.6,17.81,0.2968333333333333,0.012368055555555554
43K,801.07,0.148,80280.0,1338.0,22.3,0.9291666666666667
48V,802.9,0.136,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
47CA,807.86,5.9,391910.4,6531.84,108.864,4.5360000000000005
49CA,856.1,0.146,523.08,8.718,0.1453,0.006054166666666667
45K,871.3,0.126,1068.6,17.81,0.2968333333333333,0.012368055555555554
44K,876.53,1.7,1327.8,22.13,0.36883333333333335,0.015368055555555555
46SC,889.277,99.984,7239456.0,120657.6,2010.96,83.79
45K,891.3,0.6,1068.6,17.81,0.2968333333333333,0.012368055555555554
45K,919.3,0.86,1068.6,17.81,0.2968333333333333,0.012368055555555554
48V,928.327,0.783,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
51TI,928.63,6.9,345.6,5.760000000000001,0.096,0.004
48V,944.13,7.87,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
45K,957.5,7.6,1068.6,17.81,0.2968333333333333,0.012368055555555554
48V,983.525,99.98,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
48SC,983.526,100.1,157212.0,2620.2,43.67,1.8195833333333333
43K,990.245,0.29,80280.0,1338.0,22.3,0.9291666666666667
44K,1019.55,0.84,1327.8,22.13,0.36883333333333335,0.015368055555555555
43K,1021.698,1.96,80280.0,1338.0,22.3,0.9291666666666667
44K,1024.738,6.7,1327.8,22.13,0.36883333333333335,0.015368055555555555
48SC,1037.522,97.6,157212.0,2620.2,43.67,1.8195833333333333
44K,1050.6,0.56,1327.8,22.13,0.36883333333333335,0.015368055555555555
44K,1107.98,0.67,1327.8,22.13,0.36883333333333335,0.015368055555555555
46SC,1120.545,99.987,7239456.0,120657.6,2010.96,83.79
44K,1126.076,7.6,1327.8,22.13,0.36883333333333335,0.015368055555555555
44K,1157.002,58.0,1327.8,22.13,0.36883333333333335,0.015368055555555555
44SC,1157.02,99.9,14292.0,238.2,3.97,0.16541666666666666
48SC,1212.88,2.38,157212.0,2620.2,43.67,1.8195833333333333
44K,1222.5,0.48,1327.8,22.13,0.36883333333333335,0.015368055555555555
44K,1244.75,0.83,1327.8,22.13,0.36883333333333335,0.015368055555555555
45K,1260.3,8.5,1068.6,17.81,0.2968333333333333,0.012368055555555554
47CA,1297.09,67.0,391910.4,6531.84,108.864,4.5360000000000005
48V,1312.106,98.2,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
48SC,1312.12,100.1,157212.0,2620.2,43.67,1.8195833333333333
52V,1333.62,0.588,224.58,3.7430000000000003,0.06238333333333334,0.0025993055555555557
45K,1336.4,2.7,1068.6,17.81,0.2968333333333333,0.012368055555555554
24NA,1368.626,99.9936,53989.2,899.8199999999999,14.997,0.624875
43K,1394.448,0.131,80280.0,1338.0,22.3,0.9291666666666667
49CA,1408.9,0.599,523.08,8.718,0.1453,0.006054166666666667
52V,1434.06,100.0,224.58,3.7430000000000003,0.06238333333333334,0.0025993055555555557
45K,1434.5,4.2,1068.6,17.81,0.2968333333333333,0.012368055555555554
48V,1437.52,0.12,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
40K,1460.82,10.66,3.93839e+16,656398333333333.4,10939972222222.223,455832175925.9259
44K,1499.45,7.8,1327.8,22.13,0.36883333333333335,0.015368055555555555
44SC,1499.46,0.908,14292.0,238.2,3.97,0.16541666666666666
42K,1524.6,18.08,44496.0,741.6,12.36,0.515
52V,1530.67,0.116,224.58,3.7430000000000003,0.06238333333333334,0.0025993055555555557
44K,1575.9,0.17,1327.8,22.13,0.36883333333333335,0.015368055555555555
44K,1658.69,0.21,1327.8,22.13,0.36883333333333335,0.015368055555555555
44K,1701.9,0.1,1327.8,22.13,0.36883333333333335,0.015368055555555555
45K,1705.6,53.0,1068.6,17.81,0.2968333333333333,0.012368055555555554
45K,1725.5,0.95,1068.6,17.81,0.2968333333333333,0.012368055555555554
44K,1752.629,4.1,1327.8,22.13,0.36883333333333335,0.015368055555555555
44K,1777.973,2.1,1327.8,22.13,0.36883333333333335,0.015368055555555555
47V,1793.9,0.191,1956.0,32.6,0.5433333333333333,0.02263888888888889
45K,1879.9,0.2,1068.6,17.81,0.2968333333333333,0.012368055555555554
44K,1887.21,0.12,1327.8,22.13,0.36883333333333335,0.015368055555555555
44K,1893.2,0.11,1327.8,22.13,0.36883333333333335,0.015368055555555555
44K,1896.0,0.11,1327.8,22.13,0.36883333333333335,0.015368055555555555
45K,1899.7,0.46,1068.6,17.81,0.2968333333333333,0.012368055555555554
44K,1916.0,0.13,1327.8,22.13,0.36883333333333335,0.015368055555555555
44K,2144.23,0.75,1327.8,22.13,0.36883333333333335,0.015368055555555555
44K,2150.786,23.0,1327.8,22.13,0.36883333333333335,0.015368055555555555
45K,2179.4,0.95,1068.6,17.81,0.2968333333333333,0.012368055555555554
49CA,2228.9,0.319,523.08,8.718,0.1453,0.006054166666666667
48V,2240.396,2.333,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
45K,2349.0,0.11,1068.6,17.81,0.2968333333333333,0.012368055555555554
45K,2353.6,14.1,1068.6,17.81,0.2968333333333333,0.012368055555555554
49CA,2371.7,0.55,523.08,8.718,0.1453,0.006054166666666667
44K,2504.39,0.65,1327.8,22.13,0.36883333333333335,0.015368055555555555
44K,2518.991,9.7,1327.8,22.13,0.36883333333333335,0.015368055555555555
45K,2596.7,2.74,1068.6,17.81,0.2968333333333333,0.012368055555555554
44K,2619.16,0.21,1327.8,22.13,0.36883333333333335,0.015368055555555555
44K,2656.41,0.98,1327.8,22.13,0.36883333333333335,0.015368055555555555
44SC,2656.48,0.112,14292.0,238.2,3.97,0.16541666666666666
24NA,2754.007,99.855,53989.2,899.8199999999999,14.997,0.624875
45K,2802.4,0.358,1068.6,17.81,0.2968333333333333,0.012368055555555554
45K,2976.7,0.105,1068.6,17.81,0.2968333333333333,0.012368055555555554
44K,2982.47,0.13,1327.8,22.13,0.36883333333333335,0.015368055555555555
49CA,3084.4,90.72,523.08,8.718,0.1453,0.006054166666666667
45K,3120.2,0.33,1068.6,17.81,0.2968333333333333,0.012368055555555554
44K,3158.07,0.15,1327.8,22.13,0.36883333333333335,0.015368055555555555
44K,3201.27,0.7,1327.8,22.13,0.36883333333333335,0.015368055555555555
44K,3252.07,0.16,1327.8,22.13,0.36883333333333335,0.015368055555555555
45K,3294.3,0.221,1068.6,17.81,0.2968333333333333,0.012368055555555554
44K,3301.21,0.32,1327.8,22.13,0.36883333333333335,0.015368055555555555
44K,3395.51,1.7,1327.8,22.13,0.36883333333333335,0.015368055555555555
44K,3661.363,6.1,1327.8,22.13,0.36883333333333335,0.015368055555555555
49CA,4071.9,8.121,523.08,8.718,0.1453,0.006054166666666667
49CA,4738.2,0.281,523.08,8.718,0.1453,0.006054166666666667
44K,4865.81,0.16,1327.8,22.13,0.36883333333333335,0.015368055555555555
